,1/20/15 16:47:07,FOREX,SELL,TO CLOSE,NZD/USD,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #468961133,,,,,,,TRG-.004,STP,STD,
,,OCO #468961134,,,,,,,.76025,STP,,
,1/20/15 16:47:07,FOREX,SELL,TO CLOSE,NZD/USD,,,FOREX,TRG+.004,LMT,GTC,CANCELED
,,TRG BY #468961133,,,,,,,.76825,LMT,,
,,OCO #468961134,,,,,,,,,,
,1/20/15 16:47:07,FOREX,BUY,TO OPEN,NZD/USD,,,FOREX,,MKT,GTC,FILLED
,1/20/15 15:54:29,FOREX,BUY,TO CLOSE,GBP/JPY,,,FOREX,,MKT,GTC,FILLED
,,RE #468953025,,,,,,,,,,
,1/20/15 15:54:29,FOREX,BUY,TO CLOSE,GBP/JPY,,,FOREX,,MKT,GTC,TRIGGERED
,1/20/15 14:44:52,FOREX,BUY,TO CLOSE,GBP/JPY,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #468925222,,,,,,,TRG+.40,STP,STD,
,,OCO #468925223,,,,,,,180.487,STP,,
,1/20/15 14:44:52,FOREX,BUY,TO CLOSE,GBP/JPY,,,FOREX,TRG-.40,LMT,GTC,CANCELED
,,TRG BY #468925222,,,,,,,179.687,LMT,,
,,OCO #468925223,,,,,,,,,,
,1/20/15 14:44:52,FOREX,SELL,TO OPEN,GBP/JPY,,,FOREX,,MKT,GTC,FILLED
,1/19/15 21:21:10,FOREX,BUY,TO CLOSE,USD/JPY,,,FOREX,118.183,LMT,GTC,FILLED
,,RE #468602176,,,,,,,,,,
,,TRG BY #468602174,,,,,,,,,,
,,OCO #468602175,,,,,,,,,,
,1/19/15 21:20:53,FOREX,BUY,TO CLOSE,USD/JPY,,,FOREX,118.196,LMT,GTC,CANCELED
,,RE #468602176,,,,,,,,,,
,,TRG BY #468602174,,,,,,,,,,
,,OCO #468602175,,,,,,,,,,
,1/19/15 21:20:50,FOREX,BUY,TO CLOSE,USD/JPY,,,FOREX,118.198,LMT,GTC,CANCELED
,,RE #468602176,,,,,,,,,,
,,TRG BY #468602174,,,,,,,,,,
,,OCO #468602175,,,,,,,,,,
,1/19/15 21:20:45,FOREX,BUY,TO CLOSE,USD/JPY,,,FOREX,118.129,LMT,GTC,CANCELED
,,RE #468602176,,,,,,,,,,
,,TRG BY #468602174,,,,,,,,,,
,,OCO #468602175,,,,,,,,,,
,1/19/15 21:19:37,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,FILLED
,,RE #468609131,,,,,,,,,,
,1/19/15 21:19:37,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,TRIGGERED
,1/19/15 21:02:45,FOREX,BUY,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #468602174,,,,,,,TRG+.40,STP,STD,
,,OCO #468602175,,,,,,,118.609,STP,,
,1/19/15 21:02:45,FOREX,BUY,TO CLOSE,USD/JPY,,,FOREX,TRG-.40,LMT,GTC,CANCELED
,,TRG BY #468602174,,,,,,,117.809,LMT,,
,,OCO #468602175,,,,,,,,,,
,1/19/15 21:02:45,FOREX,SELL,TO OPEN,USD/JPY,,,FOREX,,MKT,GTC,FILLED
,1/19/15 20:42:02,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,.83201,LMT,GTC,CANCELED
,,RE #468592278,,,,,,,,,,
,,TRG BY #468592276,,,,,,,,,,
,,OCO #468592277,,,,,,,,,,
,1/19/15 20:40:16,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,TRG BY #468592276,,,,,,,TRG-.004,STP,STD,
,,OCO #468592277,,,,,,,.81412,STP,,
,1/19/15 20:40:16,FOREX,SELL,TO CLOSE,AUD/USD,,,FOREX,TRG+.004,LMT,GTC,CANCELED
,,TRG BY #468592276,,,,,,,.82212,LMT,,
,,OCO #468592277,,,,,,,,,,
,1/19/15 20:40:16,FOREX,BUY,TO OPEN,AUD/USD,,,FOREX,,MKT,GTC,FILLED
,1/19/15 20:38:31,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,FILLED
,,RE #468592241,,,,,,,,,,
,1/19/15 20:38:31,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,TRIGGERED
,1/19/15 20:19:26,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,FILLED
,,RE #468585023,,,,,,,,,,
,1/19/15 20:19:26,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,,MKT,GTC,TRIGGERED
,1/19/15 20:05:52,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,.8059,LMT,GTC,CANCELED
,,RE #468404306,,,,,,,,,,
,,OCO #468404305,,,,,,,,,,
,1/19/15 18:13:42,FOREX,SELL,TO OPEN,AUD/USD,,,FOREX,.821016,ROP,GTC,FILLED
,1/19/15 18:13:42,FOREX,BUY,TO OPEN,USD/JPY,,,FOREX,117.5596,ROP,GTC,FILLED
,1/19/15 18:13:41,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,.8211,RCL,GTC,FILLED
,1/19/15 18:13:41,FOREX,SELL,TO CLOSE,USD/JPY,,,FOREX,117.56,RCL,GTC,FILLED
,1/19/15 00:25:56,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,.81644,LMT,GTC,CANCELED
,,RE #468404306,,,,,,,,,,
,,OCO #468404305,,,,,,,,,,
,1/19/15 00:25:56,FOREX,BUY,TO CLOSE,AUD/USD,,,FOREX,,MKT,GTC,CANCELED
,,RE #468404307,,,,,,,.82474,STP,STD,
,,OCO #468404305,,,,,,,,,,
